author,conference,title,year
"{'Rina Dechter', 'Vibhav Gogate'}",AAAI,approximate counting by sampling the backtrack-free search space.,2007
"{'Craig Boutilier', 'Nathanael Hyafil'}",AAAI,partial revelation automated mechanism design.,2007
{'Timothy Weale'},AAAI,spatial reference resolution for an embodied dialogue agent.,2007
"{'Deng Cai', 'Jiawei Han 0001', 'Xiaofei He'}",AAAI,isometric projection.,2007
"{'Zhenglu Yang', 'Masaru Kitsuregawa', 'Botao Wang', 'Lin Li 0001'}",AAAI,towards efficient dominant relationship exploration of the product items on the web.,2007
"{'Lilyana Mihalkova', 'Tuyen N. Huynh', 'Raymond J. Mooney'}",AAAI,mapping and revising markov logic networks for transfer learning.,2007
"{'Daria Terekhov', 'J. Christopher Beck', 'Kenneth N. Brown'}",AAAI,solving a stochastic queueing design and control problem with constraint programming.,2007
"{'Xiaojin Zhu 0001', 'Andrew B. Goldberg'}",AAAI,kernel regression with order preferences.,2007
"{'Shimon Whiteson', 'Daniel Whiteson'}",AAAI,stochastic optimization for collision selection in high energy physics.,2007
"{'Matthew E. Taylor', 'Peter Stone'}",AAAI,representation transfer via elaboration.,2007
"{'Qiang Yang 0001', 'Weizhu Chen', 'Dou Shen', 'Zheng Chen', 'Min Qin'}",AAAI,mining web query hierarchies from clickthrough data.,2007
"{'Matthias Hein 0001', 'Markus Maier'}",AAAI,manifold denoising as preprocessing for finding natural representations of data.,2007
"{'Ingrid Zukerman', 'Yuval Marom', 'Nathalie Japkowicz'}",AAAI,a meta-learning approach for selecting between response automation strategies in a help-desk domain.,2007
"{'Günter Neumann', 'Rui Wang 0005'}",AAAI,recognizing textual entailment using a subsequence kernel method.,2007
"{'Giora Slutzki', 'Vasant G. Honavar', 'Jie Bao 0001'}",AAAI,a semantic importing approach to knowledge reuse from multiple ontologies.,2007
"{'Robert P. Cook', 'Kurt D. Bollacker', 'Patrick Tufts'}",AAAI,freebase: a shared database of structured general human knowledge.,2007
"{'Leslie Ann Goldberg', 'Michael Wooldridge', 'Paul W. Goldberg', 'Edith Elkind'}",AAAI,computational complexity of weighted threshold games.,2007
"{'Beenish Bhatia', 'Yan Xiao', 'Tim Oates', 'Peter Fu-Ming Hu'}",AAAI,real-time identification of operating room state from video.,2007
"{'Jeff Z. Pan', 'Edward Thomas'}",AAAI,approximating owl-dl ontologies.,2007
"{'Gerhard Lakemeyer', 'Alfredo Gabaldon'}",AAAI,"esp: a logic of only-knowing, noisy sensing and acting.",2007
"{'Terran Lane', 'Margaret Werner-Washburne', 'Sushmita Roy'}",AAAI,integrative construction and analysis of condition-specific biological networks.,2007
"{'Gerhard Brewka', 'Thomas Eiter'}",AAAI,equilibria in heterogeneous nonmonotonic multi-context systems.,2007
"{'Tsung-Hsiang Chang', 'Chien-Ju Ho', 'Jane Yung-jen Hsu'}",AAAI,photoslap: a multi-player online game for semantic annotation.,2007
"{'Rohit J. Kate', 'Raymond J. Mooney'}",AAAI,learning language semantics from ambiguous supervision.,2007
