author,conference,title,year
"{'Anqi Cui', 'Min Zhang 0006', 'Liyun Ru', 'Shaoping Ma', 'Yiqun Liu', 'Danqing Xu'}",IJCAI,predicting epidemic tendency through search behavior analysis.,2011
"{'Min Zhang 0006', 'Liyun Ru', 'Shaoping Ma', 'Yiqun Liu', 'Kuo Zhang', 'Chao Wei'}",SIGIR,fighting against web spam: a novel propagation method based on click-through data.,2012
"{'Min Zhang 0006', 'Chao Wang', 'Jing Qian', 'Shaoping Ma', 'Yiqun Liu', 'Kuo Zhang', 'Meihong Zheng'}",SIGIR,incorporating vertical results into search click models.,2013
"{'Shaoping Ma', 'Yongfeng Zhang', 'Min Zhang 0006', 'Yiqun Liu'}",SIGIR,improve collaborative filtering through bordered block diagonal form matrices.,2013
"{'Shaoping Ma', 'Yiqun Liu', 'Xin Li', 'Min Zhang 0006'}",AAAI,fraudulent support telephone number identification based on co-occurrence information on the web.,2014
"{'Min Zhang 0006', 'Shaoping Ma', 'Yiqun Liu', 'Haochen Zhang', 'Yongfeng Zhang'}",SIGIR,do users rate or review?: boost phrase-level sentiment labeling with review-level sentiment classification.,2014
"{'Min Zhang 0006', 'Guokun Lai', 'Shaoping Ma', 'Yiqun Liu', 'Yongfeng Zhang', 'Yi Zhang'}",SIGIR,explicit factor models for explainable recommendation based on phrase-level sentiment analysis.,2014
"{'Tat-Seng Chua', 'Min Zhang 0006', 'Shaoping Ma', 'Yiqun Liu', 'Yongfeng Zhang', 'Yunzhi Tan'}",IJCAI,catch the black sheep: unified framework for shilling attack detection based on fraudulent action propagation.,2015
"{'Min Zhang 0006', 'Shaoping Ma', 'Yiqun Liu', 'Xin Li', 'Jiashen Sun', 'Xuan Zhu'}",IJCAI,detecting promotion campaigns in community question answering.,2015
"{'Min Zhang 0006', 'Shaoping Ma', 'Yiqun Liu', 'Zeyang Liu', 'Ke Zhou'}",SIGIR,influence of vertical result in web search examination.,2015
"{'Ye Chen', 'Jinhui Tang', 'Min Zhang 0006', 'Shaoping Ma', 'Yiqun Liu', 'Jiashen Sun', 'Xuan Zhu'}",SIGIR,"different users, different opinions: predicting search satisfaction with mouse movement information.",2015
"{'Shaoping Ma', 'Yiqun Liu', 'Yuli Liu', 'Min Zhang 0006'}",IJCAI,pay me and i'll follow you: detection of crowdturfing following activities in microblog environment.,2016
"{'Shaoping Ma', 'Yiqun Liu', 'Min Zhang 0006', 'Yunzhi Tan'}",IJCAI,rating-boosted latent topics: understanding users and items with ratings and reviews.,2016
"{'Shaoping Ma', 'Yiqun Liu', 'Min Zhang 0006', 'Weizhi Ma'}",IJCAI,multi-grained role labeling based on multi-modality information for real customer service telephone conversation.,2016
"{'Meng Wang 0001', 'Min Zhang 0006', 'Chao Wang', 'Shaoping Ma', 'Yiqun Liu', 'Zeyang Liu', 'Ke Zhou', 'Huanbo Luan'}",SIGIR,predicting search user examination with visual saliency.,2016
"{'Jingtao Song', 'Min Zhang 0006', 'Jiaxin Mao', 'Shaoping Ma', 'Yiqun Liu', 'Jiashen Sun', 'Jian-Yun Nie', 'Ke Zhou', 'Hengliang Luo'}",SIGIR,when does relevance mean usefulness and user satisfaction in web search?,2016
"{'Shaoping Ma', 'Yiqun Liu', 'Min Zhang 0006', 'Jiaxin Mao'}",SIGIR,how does domain expertise affect users' search processes in exploratory searches?,2016
"{'Ye Chen', 'Min Zhang 0006', 'Shaoping Ma', 'Yiqun Liu', 'Ke Zhou'}",SIGIR,meta-evaluation of online and offline web search evaluation metrics.,2017
